Name,Category,Blockchains,Storage Networks,Authentication,Website,Open Source Client?,Registration Open?,Tracking Blocked or Consented?
Aragon,Business & Governance,Ethereum,,,https://aragon.one/,https://github.com/aragon/aragon,YES,
Bellwethr,Business & Governance,-,Gaia,Blockstack,,,,
Misthos,Business & Governance,-,Gaia,Blockstack,,,,
Gitcoin,Developer Tools,Ethereum,-,-,,,,
Everipedia,Education & News,EOS,IPFS,-,https://everipedia.org/,,NO,
AdChain,Financial Services,Ethereum,,,,,,
Augur,Financial Services,Ethereum,,,http://www.augur.net/,,,
Bancor,Financial Services,Ethereum,,,,,,
Bloom,Financial Services,Ethereum,,,https://bloom.co/,,,
Bounty0x,Financial Services,Ethereum,,,https://bounty0x.io/,,,
Coinfort,Financial Services,-,Gaia,Blockstack,http://www.coinfort.io/,https://github.com/twg/coinfort-web,,
Coins,Financial Services,-,Gaia,Blockstack,https://coinsapp.co/,,,
Coinstack,Financial Services,-,Gaia,Blockstack,http://www.coinstack.one/,,,
Dharma,Financial Services,Ethereum,,,,,,
Dharma,Financial Services,Ethereum,,,,,,
DyDx,Financial Services,Ethereum,,,https://dydx.exchange/,,,
Entaxy,Financial Services,-,Gaia,Blockstack,,,,
ERC dEX,Financial Services,Ethereum,,,,,,
EtherDelta,Financial Services,Ethereum,,,https://etherdelta.com,YES,,
Etherisc,Financial Services,Ethereum,,,https://etherisc.com/,,,
EthLend,Financial Services,Ethereum,,,,,,
Gnosis,Financial Services,Ethereum,,,https://gnosis.pm/,,,
Hong Bao,Financial Services,Ethereum,,,,,,
Paradex,Financial Services,Ethereum,,,,,,
Prism,Financial Services,-,,,https://prism.exchange,,,
Radar Relay,Financial Services,Ethereum,,,https://radarrelay.com/,,,
WeTrust,Financial Services,Ethereum,,,,,,
CryptoEmperors,Games & Digital Assets,Ethereum,,Metamask,http://cryptoemperors.co/,,,
ChainMonsters,Games & Digital Assets,Ethereum,,Metamask,https://chainmonsters.io/,,,
Crypto Celebrities,Games & Digital Assets,Ethereum,,,,,,
Crypto High Score,Games & Digital Assets,Ethereum,,,,,,
Crypto Speech,Games & Digital Assets,Ethereum,,,,,,
CryptoFighters,Games & Digital Assets,Ethereum,,,,,,
CryptoKitties,Games & Digital Assets,Ethereum,,Metamask,https://www.cryptokitties.co/,,,NO
Cryptopunks,Games & Digital Assets,Ethereum,,,,,,
DaDa,Games & Digital Assets,Ethereum,,,,,,
Decentraland,Games & Digital Assets,Ethereum,,,https://decentraland.org/,,,
ETHCraft,Games & Digital Assets,Ethereum,,,,,,
Ether Numbers,Games & Digital Assets,Ethereum,,,,,,
Etherbots,Games & Digital Assets,Ethereum,,,,,,
Ethercraft,Games & Digital Assets,Ethereum,,,,,,
Etheremon,Games & Digital Assets,Ethereum,,,,,,
NameBazaar,Games & Digital Assets,Ethereum,IPFS,"Metamask, Parity",https://namebazaar.io/,,,
OpenSea,Games & Digital Assets,Ethereum,,"Metamask, Toshi, Cipher, Trust",,,,
RARE,Games & Digital Assets,Ethereum,,,,,,
Rare Pepe Wallet,Games & Digital Assets,Bitcoin,-,12 word phrase,https://rarepepewallet.com/,,,
RareBits,Games & Digital Assets,Ethereum,,,https://rarebits.io/,,,
World of Ether,Games & Digital Assets,Ethereum,,,,,,
Afia,Health & Fitness,-,Gaia,Blockstack,http://www.afiabeta.com/,,,
CryptoCribs,Marketplaces,Ethereum,,,https://www.cryptocribs.com/,,,
ENSListing,Marketplaces,Ethereum,,,https://enslisting.com,,,
ETHLance,Marketplaces,Ethereum,IPFS,Metamask,https://ethlance.com,https://github.com/district0x/ethlance,,
Gems,Marketplaces,Ethereum,,,https://gems.org/,,,
OpenBazaar,Marketplaces,-,,,https://www.openbazaar.org/,,,
DotPodcast,"Music, Photo & Video",-,Gaia,Blockstack,https://dotpodcast.co/,,,
Akasha,Social Networking,Ethereum,IPFS,Metamask,https://akasha.world/,,,
Busy,Social Networking,Steem,,SteemConnect,https://busy.org/,,,
DTube,Social Networking,Steem,IPFS,SteemConnect,https://d.tube/,,,
Hermes,Social Networking,-,Gaia,Blockstack,https://www.hihermes.co,,,
Leeroy,Social Networking,Ethereum,-,Metamask,https://leeroy.io/,,,
Postly,Social Networking,-,Gaia,Blockstack,https://www.postly.co/,,,
Stealthy,Social Networking,-,Gaia,Blockstack,https://stealthy.im,,,
SteemIt,Social Networking,Steem,Steem,SteemConnect,https://steemit.com/,NO,,
Utopian,Social Networking,Steem,Steem,SteemConnect,https://join.utopian.io/,,,
Yours,Social Networking,Bitcoin Cash,-,-,https://www.yours.org/,,,
Civic,Utilities & Productivity,Ethereum,IPFS,Civic,https://www.civic.com/,,,
Graphite,Utilities & Productivity,-,Gaia,Blockstack,https://www.graphitedocs.com/,YES,,
ZeroBlog,Social Networking,-,ZeroNet,ZeroNet,,,,
ZeroID,Utilities & Productivity,-,ZeroNet,ZeroNet,,,,
ZeroMail,Utilities & Productivity,-,ZeroNet,ZeroNet,,,,
ZeroName,Utilities & Productivity,-,ZeroNet,ZeroNet,,,,
ZeroBoard,Social Networking,-,ZeroNet,ZeroNet,,,,
ZeroChat,Social Networking,-,ZeroNet,ZeroNet,,,,
ZeroHello,Social Networking,-,ZeroNet,ZeroNet,,,,
ZeroTalk,Social Networking,-,ZeroNet,ZeroNet,,,,
GIF Time,Social Networking,-,ZeroNet,ZeroNet,,,,